National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 39. Percentage of public schools reporting that their efforts to provide mental health services to students were limited in a major or minor way due to specified non-school-level factors, by selected school characteristics: School year 2015–16",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
School characteristic,Inadequate access to licensed mental health professionals1,,Inadequate funding,,Potential legal issues for school or district2,,Lack of parental support in addressing their children’s mental health disorders3,,Lack of community support for providing mental health services to students in your school,,Written or unwritten policies regarding the school’s requirement to pay for the diagnostic assessment or treatment of students,,Reluctance to label students with mental health disorders3 to avoid stigmatizing the child,,,,,,,,,,,,
   All public schools,63.9,,74.7,,40.6,,71.2,,44.5,,40.0,,43.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level4,,,,,,,,,,,,,,,,,,,,,,,,,
  Primary,66.8,,75.9,,40.8,,72.2,,45.4,,40.3,,47.6,,,,,,,,,,,,
  Middle ,60.8,,72.1,,42.1,,69.8,,42.9,,40.6,,40.2,,,,,,,,,,,,
  High school ,58.6,,72.6,,40.5,,68.2,,41.8,,38.9,,37.8,,,,,,,,,,,,
  Combined ,60.1,,76.2,,35.3,,73.3,,46.5,,38.6,,35.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Enrollment size ,,,,,,,,,,,,,,,,,,,,,,,,,
  Less than 300 ,68.1,,76.2,,38.7,,70.1,,39.8,,35.4,,40.9,,,,,,,,,,,,
  300–499 ,63.2,,77.8,,39.4,,71.8,,46.7,,40.3,,42.9,,,,,,,,,,,,
  500–999 ,63.1,,72.7,,41.5,,72.6,,45.7,,41.7,,46.5,,,,,,,,,,,,
"  1,000 or more ",60.5,,70.0,,44.7,,66.4,,43.7,,42.7,,42.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Locale,,,,,,,,,,,,,,,,,,,,,,,,,
