state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
co,2011A,lower,HB 11-1001,Enactment Of 2010 CRS,01:55.3,22:24.6,bill,
co,2011A,lower,HB 11-1002,CDOT On-line Financial Database,01:55.3,02:46.3,bill,
co,2011A,lower,HB 11-1003,Define ID For Voting,01:55.3,02:46.3,bill,
co,2011A,lower,HB 11-1004,Farm Truck Registration ,01:55.3,02:46.4,bill,
co,2011A,lower,HB 11-1005,Reinstate Tax Exemption For Ag Products,01:55.4,02:46.4,bill,
co,2011A,lower,HB 11-1006,Regional Tourism Authority Boards,01:55.4,22:24.6,bill,
co,2011A,lower,HB 11-1007,Mesa State College Personnel,01:55.4,22:24.7,bill,
co,2011A,lower,HB 11-1008,Composition Of PERA Board,01:55.4,22:24.7,bill,
co,2011A,lower,HB 11-1009,Interstate Compact Parolee Residency,01:55.4,22:24.7,bill,
co,2011A,lower,HB 11-1010,Incidental Use Of Tax-exempt Property,01:55.5,02:46.4,bill,
co,2011A,lower,HB 11-1011,Board Of Assessment Appeals Hearings,01:55.5,01:55.5,bill,
co,2011A,lower,HB 11-1012,Unaffiliated Electors To Vote In Primary,01:55.5,22:24.7,bill,
co,2011A,lower,HB 11-1013,Exempt Active Military Prof Regulation,01:55.5,02:46.5,bill,
co,2011A,lower,HB 11-1014,Child Care Contrib Income Tax Credit,01:55.5,02:46.5,bill,
co,2011A,lower,HB 11-1015,Licensing Of Accountants,01:55.5,22:24.8,bill,
co,2011A,lower,HB 11-1016,Prohibit E-cigarette Possession By Minor,01:55.6,02:46.5,bill,
co,2011A,lower,HB 11-1017,Replace Student Faculty Auraria Board,01:55.6,22:24.8,bill,
co,2011A,lower,HB 11-1018,Electronically Transmitted Court Docs,01:55.6,22:24.8,bill,
co,2011A,lower,HB 11-1019,Exempt School-based Clinics Copay,01:55.6,22:24.8,bill,
co,2011A,lower,HB 11-1020,Subcontractor Notice For Mechanics' Lien,01:55.6,02:46.5,bill,
co,2011A,lower,HB 11-1021,Colorado Channel Authority Fiscal Year,01:55.6,22:24.8,bill,
co,2011A,lower,HB 11-1022,Seller Financing Of Real Property,01:55.6,22:24.8,bill,
co,2011A,lower,HB 11-1023,Continue Foreclosure Deferment Program,01:55.7,22:24.8,bill,
co,2011A,lower,HB 11-1024,Agricultural Youth Driver's License,01:55.7,02:46.6,bill,
co,2011A,lower,HB 11-1025,Repeal Hospital Provider Fee,01:55.7,22:24.9,bill,
co,2011A,lower,HB 11-1026,Storm Water Management Sys Admr,01:55.7,02:46.6,bill,
co,2011A,lower,HB 11-1027,Dept Defense Child Care Pilot Program,01:55.7,22:24.9,bill,
co,2011A,lower,HB 11-1028,Alzheimer's Assn Tax Checkoff,01:55.7,22:24.9,bill,
co,2011A,lower,HB 11-1029,Special Offender Drug Sales Libraries,01:55.7,22:24.9,bill,
co,2011A,lower,HB 11-1030,Procurement Set Aside Program,01:55.8,22:24.9,bill,
co,2011A,lower,HB 11-1031,Creative Districts,01:55.8,22:24.9,bill,
co,2011A,lower,HB 11-1032,Restorative Justice,01:55.8,02:46.7,bill,
co,2011A,lower,HB 11-1033,Repeal Reqmnt File Unused Ins Info,01:55.8,02:46.7,bill,
co,2011A,lower,HB 11-1034,Protect-our-rivers Special License Plate,01:55.8,02:46.7,bill,
co,2011A,lower,HB 11-1035,Blue Book Information Statement,01:55.8,22:24.9,bill,
co,2011A,lower,HB 11-1036,Blue Alert For Injured Peace Officers,01:55.8,22:25.0,bill,
co,2011A,lower,HB 11-1037,Military Family Checkoff Extension,01:55.9,22:25.0,bill,
co,2011A,lower,HB 11-1038,Repeal Authority Sell Trinidad Nursing,01:55.9,22:25.0,bill,
co,2011A,lower,HB 11-1039,Animal Cruelty Steer Tailing,01:55.9,22:25.0,bill,
co,2011A,lower,HB 11-1040,Extend State Conservation Bd Term Length,01:55.9,22:25.0,bill,
co,2011A,lower,HB 11-1041,Update Colo Ins Guaranty Assn Statute,01:55.9,22:25.0,bill,
co,2011A,lower,HB 11-1042,Class Of Res Land When Res Imp Removed,01:56.0,02:46.8,bill,
co,2011A,lower,HB 11-1043,Medical Marijuana,01:56.0,02:46.8,bill,
co,2011A,lower,HB 11-1044,Sunrise Process Modifications,01:56.0,22:25.0,bill,
co,2011A,lower,HB 11-1045,CO Innovation Investment Tax Credit,01:56.0,02:46.8,bill,
co,2011A,lower,HB 11-1046,Coordinated And Rational Transp Planning,01:56.1,22:25.0,bill,
co,2011A,lower,HB 11-1047,Incl Comm Prop In New Energy Imp Dist,01:56.1,22:25.1,bill,
co,2011A,lower,HB 11-1048,Income Tax Credits For Nonpublic Ed,01:56.1,02:46.9,bill,
co,2011A,lower,HB 11-1049,Use Of Personal Info To Defraud,01:56.1,22:25.1,bill,
co,2011A,lower,HB 11-1050,Boiler Inspection Regulation,01:56.2,22:25.1,bill,
co,2011A,lower,HB 11-1051,DNA Expungement Clarification,01:56.2,22:25.1,bill,
co,2011A,lower,HB 11-1052,Pay-as-you-go Requirements,01:56.2,22:25.1,bill,
co,2011A,lower,HB 11-1053,Incarceration For Truancy And Contempt,01:56.2,22:25.1,bill,
co,2011A,lower,HB 11-1054,Require RTD To Contract Bus Service,01:56.2,22:25.1,bill,
co,2011A,lower,HB 11-1055,Facilities For Charter Schools,01:56.2,02:46.9,bill,
co,2011A,lower,HB 11-1056,Undo 2003 Payday Shift,01:56.2,02:47.0,bill,
co,2011A,lower,HB 11-1057,Adjunct Professor Empl Contr Protections,01:56.3,01:56.3,bill,
co,2011A,lower,HB 11-1058,No Public Assistance At Strip Club ATMs,01:56.3,22:25.2,bill,
co,2011A,lower,HB 11-1059,Restrict Local Government Accident Fees,01:56.3,22:25.2,bill,
co,2011A,lower,HB 11-1060,Governor Appointment Terms To UNC Board,01:56.3,22:25.2,bill,
co,2011A,lower,HB 11-1061,Graffiti Removal Defacing Property,01:56.3,22:25.2,bill,
co,2011A,lower,HB 11-1062,San Luis Valley Farm-to-school Pilot,01:56.3,01:56.3,bill,
co,2011A,lower,HB 11-1063,Animal Welfare And Control,01:56.3,01:56.3,bill,
co,2011A,lower,HB 11-1064,Parole Presumption Certain Drug Offender,01:56.4,02:47.0,bill,
co,2011A,lower,HB 11-1065,No Elected Officials In Public Ads,01:56.4,22:25.2,bill,
co,2011A,lower,HB 11-1066,Due Process Prior To Gov Taking,01:56.4,22:25.3,bill,
co,2011A,lower,HB 11-1067,Remove Daylight Saving Time,01:56.4,22:25.3,bill,
co,2011A,lower,HB 11-1068,State Engineer Approve Ag Water Transfer,01:56.4,22:25.3,bill,
co,2011A,lower,HB 11-1069,Physical Activity Expectation In Schools,01:56.4,22:25.3,bill,
co,2011A,lower,HB 11-1070,Public Works Prevailing Wages & Benefits,01:56.4,22:25.3,bill,
co,2011A,lower,HB 11-1071,Roundup River Ranch Tax Checkoff,01:56.5,02:47.1,bill,
co,2011A,lower,HB 11-1072,Designated Rep Of Initiative Proponents,01:56.5,02:47.1,bill,
co,2011A,lower,HB 11-1073,Peace Officer Status US Marshals,01:56.5,22:25.3,bill,
co,2011A,lower,HB 11-1074,School Of Mines Funding Of Financial Aid,01:56.5,22:25.3,bill,
co,2011A,lower,HB 11-1075,Limit Uses Of SB 09-108 Funding,01:56.5,22:25.3,bill,
co,2011A,lower,HB 11-1076,Time Payment Fees Judicial Matters,01:56.6,02:47.2,bill,
co,2011A,lower,HB 11-1077,Education Of Gifted Children,01:56.6,22:25.3,bill,
co,2011A,lower,HB 11-1078,Poverty Impact Statements For Bills,01:56.6,22:25.4,bill,
co,2011A,lower,HB 11-1079,Reduce Youth Homelessness,01:56.6,22:25.4,bill,
co,2011A,lower,HB 11-1080,Address Confidentiality Program,01:56.6,02:47.2,bill,
co,2011A,lower,HB 11-1081,LPG Vehicles Included For Incentives,01:56.6,02:47.2,bill,
co,2011A,lower,HB 11-1082,Ozone Levels Larimer & Weld AIR Program,01:56.6,02:47.2,bill,
co,2011A,lower,HB 11-1083,Hydroelectricity & Pumped Hydro,01:56.7,22:25.4,bill,
co,2011A,lower,HB 11-1084,Modify Late Vehicle Registration Fee,01:56.7,02:47.2,bill,
co,2011A,lower,HB 11-1085,Community Corrections Referral By DOC,01:56.7,22:25.4,bill,
co,2011A,lower,HB 11-1086,Increase Property Tax Expense Grants,01:56.7,01:56.7,bill,
co,2011A,lower,HB 11-1087,Pest Control Reimbursement,01:56.7,22:25.4,bill,
co,2011A,lower,HB 11-1088,Bond For Persons Illegally Present,01:56.7,22:25.4,bill,
co,2011A,lower,HB 11-1089,Charter Schools Grant Applications,01:56.7,02:47.3,bill,
co,2011A,lower,HB 11-1090,Readability Of Statewide Ballot Titles,01:56.8,02:47.3,bill,
co,2011A,lower,HB 11-1091,Sales Tax Exemption For Med Equipment,01:56.8,02:47.3,bill,
co,2011A,lower,HB 11-1092,Local Streets Hwys Available Bike Route,01:56.8,02:47.3,bill,
co,2011A,lower,HB 11-1093,Special Mobile Machinery Ownership Tax,01:56.8,22:25.5,bill,
co,2011A,lower,HB 11-1094,Measure Waste Diverted From Landfills,01:56.8,22:25.5,bill,
co,2011A,lower,HB 11-1095,Protect Security SOS Web Site,01:56.8,02:47.3,bill,
co,2011A,lower,HB 11-1096,Voter Preregistration At Age Sixteen,01:56.8,22:25.5,bill,
co,2011A,lower,HB 11-1097,Goodwill Industries Tax Checkoff,01:56.9,02:47.4,bill,
