state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
fl,2011,lower,H 1,Health Care Services,41:54.7,20:32.6,bill,
fl,2011,lower,H 1001,Permitting of Consumptive Uses of Water,41:55.8,08:43.2,bill,
fl,2011,lower,H 1003,Collection of Delinquent Financial Obligations,41:55.8,08:43.2,bill,
fl,2011,lower,H 1005,Murder of a Child 17 Years Of Age or Younger,41:55.8,15:26.5,bill,
fl,2011,lower,H 1007,Insurer Insolvency,41:55.9,15:26.5,bill,
fl,2011,lower,H 1009,"City of Jacksonville, Duval County",41:55.9,15:26.5,bill,
fl,2011,lower,H 101,Violations of Injunctions for Protection,41:54.8,20:41.2,bill,
fl,2011,lower,H 1011,"City of Jacksonville, Duval County",41:55.9,08:43.2,bill,
fl,2011,lower,H 1013,"Relief/James D. Feurtado, III/Miami-Dade County",41:55.9,15:26.6,bill,
fl,2011,lower,H 1015,Depositions in Juvenile Proceedings,41:55.9,08:43.2,bill,
fl,2011,lower,H 1017,State Lotteries,41:55.9,14:53.9,bill,
fl,2011,lower,H 1019,Foster Care Providers,41:55.9,15:26.6,bill,
fl,2011,lower,H 1021,Labor and Employment,41:55.9,15:26.6,bill,
fl,2011,lower,H 1023,Labor Organizations,41:55.9,08:43.3,bill,
fl,2011,lower,H 1025,Collective Bargaining,41:55.9,08:43.3,bill,
fl,2011,lower,H 1027,Pub. Rec./Law Enforcement/Firefighters,41:55.9,15:26.6,bill,
fl,2011,lower,H 1029,Interstate Compact for Juveniles,41:55.9,15:26.6,bill,
fl,2011,lower,H 103,State Lotteries,41:54.8,20:41.3,bill,
fl,2011,lower,H 1031,Collective Bargaining for Certain Public Employees,41:55.9,20:54.8,bill,
fl,2011,lower,H 1033,Retirement,41:55.9,08:43.3,bill,
fl,2011,lower,H 1035,Condominium/Cooperative/Homeowners' Associations,41:55.9,08:43.3,bill,
fl,2011,lower,H 1037,Continuing Care Retirement Communities,41:55.9,15:26.6,bill,
fl,2011,lower,H 1039,Controlled Substances,41:55.9,15:26.6,bill,
fl,2011,lower,H 1041,"Pinellas Planning Council, Pinellas County",41:55.9,08:43.4,bill,
fl,2011,lower,H 1043,Citrus County,41:55.9,21:57.4,bill,
fl,2011,lower,H 1045,Loxahatchee Groves Water Control Dist./Palm Beach,41:55.9,15:26.7,bill,
fl,2011,lower,H 1047,Nonresident Alien Accounts,41:55.9,15:26.7,bill,
fl,2011,lower,H 1049,Pinellas County,41:55.9,08:43.4,bill,
fl,2011,lower,H 105,Open House Parties,41:54.8,20:41.6,bill,
fl,2011,lower,H 1051,Economic Development,41:55.9,20:50.4,bill,
fl,2011,lower,H 1053,Special Election,41:55.9,15:26.7,bill,
fl,2011,lower,H 1055,Community Residential Homes,41:55.9,08:43.4,bill,
fl,2011,lower,H 1057,Regulation of Hoisting Equipment,41:55.9,08:43.4,bill,
fl,2011,lower,H 1059,Request for Information by Department of Lottery,41:55.9,15:26.7,bill,
fl,2011,lower,H 1061,Treatment of Stroke,41:55.9,15:26.7,bill,
fl,2011,lower,H 1063,"Canaveral Port District, Brevard County",41:55.9,15:26.8,bill,
fl,2011,lower,H 1065,Public Meetings/Discussions of Pending Litigation,41:55.9,08:43.5,bill,
fl,2011,lower,H 1067,Death and Fetal Death Registration,41:55.9,15:26.8,bill,
fl,2011,lower,H 1069,Capital Investment Tax Credit,41:55.9,15:26.8,bill,
fl,2011,lower,H 107,Local Government Accountability,41:54.8,20:41.8,bill,
fl,2011,lower,H 1071,Voting Conflicts,41:55.9,08:43.5,bill,
fl,2011,lower,H 1073,Relief/Edwards & Roden/Lee County,41:55.9,08:43.5,bill,
fl,2011,lower,H 1075,Relief/Acosta/Miami-Dade County,41:55.9,08:43.5,bill,
fl,2011,lower,H 1077,Public School Instruction,41:55.9,08:43.5,bill,
fl,2011,lower,H 1079,Procurement of Personal Property and Services,41:55.9,08:43.5,bill,
fl,2011,lower,H 1081,Energy Conservation Standards,41:55.9,08:43.5,bill,
fl,2011,lower,H 1083,Agency for Persons with Disabilities,41:55.9,08:43.5,bill,
fl,2011,lower,H 1085,Women's Health,41:55.9,15:26.9,bill,
fl,2011,lower,H 1087,Insurance,41:55.9,15:26.9,bill,
fl,2011,lower,H 1089,Landlord and Tenant,41:55.9,08:43.6,bill,
fl,2011,lower,H 109,Public School Buses,41:54.8,20:41.8,bill,
fl,2011,lower,H 1091,Sale of Event Tickets,41:55.9,13:19.3,bill,
fl,2011,lower,H 1093,Issuance of Bonds,41:55.9,08:43.6,bill,
fl,2011,lower,H 1095,Relief/Marcus Button/Pasco County School Board,41:55.9,59:40.6,bill,
fl,2011,lower,H 1097,Senate Confirmation of Justices and Judges,41:55.9,15:26.9,bill,
fl,2011,lower,H 1099,Enterprise Zones,41:55.9,08:43.6,bill,
fl,2011,lower,H 11,Child-restraint Requirements,41:54.7,20:33.2,bill,
fl,2011,lower,H 1101,Health Insurance,41:55.9,08:43.6,bill,
fl,2011,lower,H 1103,Sovereignty of the State,41:55.9,16:49.1,bill,
fl,2011,lower,H 1105,Treatment of a Surrendered Newborn Infant,41:55.9,08:43.6,bill,
fl,2011,lower,H 1107,Relief/Angela Sozzani/DCFS,41:55.9,03:09.2,bill,
fl,2011,lower,H 1109,Apportionment,41:56.0,08:43.7,bill,
fl,2011,lower,H 111,Cadmium in Children's Products,41:54.8,20:42.0,bill,
fl,2011,lower,H 1111,Family Law,41:56.0,15:26.9,bill,
fl,2011,lower,H 1113,Clerks of Circuit Court,41:56.0,08:43.7,bill,
fl,2011,lower,H 1115,Cemeteries,41:56.0,15:26.9,bill,
fl,2011,lower,H 1117,Interstate Health Insurance Policies,41:56.0,15:27.0,bill,
fl,2011,lower,H 1119,Local Government Energy Zones,41:56.0,08:43.7,bill,
fl,2011,lower,H 1121,Financial Institutions,41:56.0,15:27.0,bill,
fl,2011,lower,H 1123,Corrections,41:56.0,08:43.7,bill,
fl,2011,lower,H 1125,Health and Human Services,39:32.6,22:03.2,bill,
fl,2011,lower,H 1127,Abortions,39:32.6,15:27.0,bill,
fl,2011,lower,H 1129,Stimulating Small Business Growth,39:32.6,08:43.8,bill,
fl,2011,lower,H 113,Term Limits,41:54.8,20:42.0,bill,
fl,2011,lower,H 1131,Child Care Facilities,39:32.6,08:43.8,bill,
fl,2011,lower,H 1133,Medicaid,39:32.6,08:43.8,bill,
fl,2011,lower,H 1135,Emergency Vehicles,39:32.6,08:43.8,bill,
fl,2011,lower,H 1137,Assisted Living Facilities,39:32.6,08:43.8,bill,
fl,2011,lower,H 1139,Retirement for Elected Officials,39:32.6,08:43.8,bill,
fl,2011,lower,H 1141,Ad Valorem Tax Exemption/Deployed Servicemembers,37:39.0,15:27.1,bill,
fl,2011,lower,H 1143,Human Services,37:39.0,08:43.8,bill,
fl,2011,lower,H 1145,Greyhound Racing,37:39.0,22:04.8,bill,
fl,2011,lower,H 1147,Pain-management Clinics,37:39.0,08:43.9,bill,
fl,2011,lower,H 1149,Regulation of the Paralegal Profession,37:39.0,08:43.9,bill,
fl,2011,lower,H 115,Creation/Department of Health and Human Services,41:54.8,20:42.1,bill,
fl,2011,lower,H 1151,Relief/Eric Brody/Broward County Sheriff's Office,37:39.0,15:27.1,bill,
fl,2011,lower,H 1153,Infrastructure Investment,37:39.0,08:43.9,bill,
fl,2011,lower,H 1155,Transportation Project Funding,37:39.0,08:43.9,bill,
fl,2011,lower,H 1157,Insurance,37:39.0,08:43.9,bill,
fl,2011,lower,H 1159,Bullying or Harassment,37:39.0,08:43.9,bill,
fl,2011,lower,H 1161,Business Enterprise Opportunities/Wartime Veterans,37:39.0,08:43.9,bill,
fl,2011,lower,H 1163,Ad Valorem Taxation,37:39.0,15:27.1,bill,
fl,2011,lower,H 1165,Driver's Licenses and Identification Cards,37:39.0,15:27.2,bill,
fl,2011,lower,H 1167,Insurance,37:39.0,20:27.1,bill,
fl,2011,lower,H 1169,Pub. Rec./Insurance,37:39.0,08:44.0,bill,
fl,2011,lower,H 117,Homestead Property Assessments,41:54.8,20:42.2,bill,
fl,2011,lower,H 1171,Long-Term Care Ombudsman Program,37:39.0,15:27.2,bill,
