STATE,SCHOOL SECURITY PERSONNEL ARE EXPLICCITY AUTHORIZED IN STATE STATUTEOR REGULATION,SCHOOL SECURITY PERSONNEL ARE EXPLICCITY AUTHORIZED IN STATE STATUTEOR REGULATION,other SCHOOL EMPLOYEES ARE EXPLICITLY authroized in state statue or regulation,CONCEALED CARRY PERMIT HOLDERS ARE EXPLICITLY AUTHORIZED IN STATE STATUTEOR REGULATION,DISTRICTS OR SCHOOLS OR SCHOOL BOARDS ARE EXPLICITLY AUTHORIZED IN STATE STATUTE OR REGULATION TO PERMIT WEAPONS IN SCHOOLS,CITATION
Alabama,Yes,"Yes, a local board of education may allow any person","No, other school employees are not explicitly","Yes, persons with pistol permits are allowed to possess","No, districts or schools or school boards are not",Ala. Code § 16-1-44.1
,,employed by the board as school security personnel,authorized in state statute or regulation to possess,weapons in school. ,explicitly authorized in state statute or regulation to,
,,or as a school resource of￘cer to carry a ￘rearm while,weapons in schools. ,,permit weapons in schools. ,Ala. Code § 13A-11-
,,on duty if the employee is certi￘ed as a law,,,,72
,,enforcement of￘cer and who has successfully,,,,
,,"completed active shooter training, annually",,,,
,,completes and passes the ￘rearm requali￘cation,,,,
,,"required of law enforcement of￘cers, and is required",,,,
,,to carry a non-lethal weapon and must be trained in,,,,
,,the appropriate use of that non-lethal weapon. ,,,,
Alaska,No,"No, school security personnel are not explicitly","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","Yes, a person with permission from the chief",Alaska Stat. Ann. §
,,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,administrative of￘cer of the school or district or the,11.61.210 
,,weapons in schools. ,weapons in schools. ,weapons in schools. ,designee of the chief administrative of￘cer can possess,
,,,,,weapons in schools. ,
Arizona,Yes,"Yes, peace of￘cers may carry a weapon on school","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","Yes, a person who has obtained speci￘c authorization",Ariz. Rev. Stat. Ann. §
,,"grounds. However, school resource of￘cers or",authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,from the school administrator can carry or possess a,15-341 
,,security guards are not included within the de￘nition,weapons in schools. ,weapons in schools. ,weapon on school grounds. ,
,,"of ""peace of￘cer."" ",,,,
Arkansas,Yes,"Yes, it is permissible to carry a handgun under this","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",Ark. Code Ann. § 5-
,,section if the person is a registered commissioned,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,73-119
,,security guard acting in the course and scope of his or,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
,,her duties. ,,,,Ark. Code Ann. § 17-
,,,,,,40-102 
California,Yes,"Yes, persons employed as members of a police","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",Cal. Penal Code §
,,department of a school district pursuant to Section,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,830.32
,,38000 of the Education Code can possess weapons in,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
,,"school, if the primary duty of the police of￘cer is the",,,,
,,enforcement of the law. ,,,,
Colorado,Yes,"Yes, if the person is a school resource of￘cer or a","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",Colo. Rev. Stat. Ann. §
,,peace of￘cer when carrying a weapon in,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,18-12-105.5
,,conformance with the policy of the employing agency.,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
,,"Additionally, a permittee who is employed or retained",,,,Colo. Rev. Stat. Ann. §
,,by contract by a school district or charter school as a,,,,22-32-109.1
,,school security of￘cer may carry a concealed,,,,
,,"handgun onto the property of a public elementary,",,,,Colo. Rev. Stat. Ann. §
,,"middle, junior high or high school while the permittee",,,,18-1-901
,,is on duty. ,,,,
,,,,,,Colo. Rev. Stat. Ann. §
,,,,,,16-2.5-101 
,,,,,,Colo. Rev. Stat. Ann. §
,,,,,,18-12-214 
Connecticut,No,"No, school security personnel are not explicitly","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","Yes, a person, in accordance with an agreement entered",Conn. Gen. Stat. Ann.
,,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,into between school of￘cials and such person or such,§ 53a-217b
,,weapons in schools. ,weapons in schools. ,weapons in schools. ,"person's employer, can possess weapons in school. ",
,,,,,,Conn. Gen. Stat. Ann.
,,,,,,§ 53a-3 
Delaware,Yes,"Yes, any law enforcement of￘cer, police of￘cer or","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not","Del. Code Ann. tit. 11,"
,,security of￘cer is allowed to possess weapons in,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,§ 1457
,,school. ,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
District of,Yes,"Yes, a person legally licensed to carry a ￘rearm in the","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",D.C. Code Ann. § 22-
Columbia,,District of Columbia who is a police or other duly-,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,4502.01(c) 
,,appointed law enforcement of￘cers may possess,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
,,weapons in school. ,,,,
Florida,Yes,"Yes, a school safety of￘cer has the authority to carry","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",Fla. Stat. Ann. §
,,weapons when performing his or her of￘cial duties. A,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,1006.12(2)(b)
,,school guardian has extensive ￘rearm safety and,weapons in schools. A school guardian has extensive,weapons in schools. A school guardian has extensive,permit weapons in schools. ,
,,pro￘ciency training and is required to have a,￘rearm safety and pro￘ciency training and is required,￘rearm safety and pro￘ciency training and is required to,,Fla. Stat. Ann. §
,,"concealed carry permit; however, a school guardian","to have a concealed carry permit; however, a school","have a concealed carry permit; however, a school guardian",,790.115(2)(a)
